title,actor_blurb
"CURRICULUM CONTROVERSY : District responds to claims it will implement CRT , gender identity lessons","The primary actor in the headline is the ""District,"" which refers to a school district or educational authority. This actor is responding to claims about the content of its curriculum, specifically regarding the implementation of Critical Race Theory (CRT) and gender identity lessons. The district is likely a collective entity responsible for making decisions about educational policies and curricula in a specific geographical area. It is an organizational actor rather than an individual person."
Report sparks debate over bans on critical race theory,"The headline does not explicitly reference a primary actor. It mentions a ""report"" which is an object, not an actor. The debate itself could involve various actors, such as policymakers, educators, activists, or legislators, but they are not specifically identified in the headline provided."
Letter to the Editor : CRT is racism,"The primary actor in the headline ""Letter to the Editor: CRT is racism"" is the author of the letter to the editor. This individual is likely a person who holds a strong opinion about Critical Race Theory (CRT) and is asserting that CRT is a form of racism. The actor is engaging in a public discourse by submitting their viewpoint in a letter to a publication's editor, aiming to share their perspective with a wider audience. The specific characteristics of the actor, such as their background, expertise, or affiliations, are not provided in the headline."
10 Things in Politics : Educators Scramble Over CRT,"The primary actor in the headline ""Educators Scramble Over CRT"" is ""educators."" This term generally refers to individuals involved in the teaching profession, such as teachers, professors, school administrators, and possibly education policy makers. These individuals are typically responsible for the development, implementation, and adaptation of educational curricula and policies within schools and educational institutions. In the context of the headline, they appear to be actively responding to or dealing with issues related to Critical Race Theory (CRT) within the educational or political landscape."
Local Parents Speak Out Against Critical Race Theory | News Radio 101 . 9 Big WAAX,"The primary actor in the headline is ""Local Parents."" These individuals are likely a group of parents from a specific community or school district who are voicing their opposition to the teaching or inclusion of Critical Race Theory in educational curricula. They are engaging in some form of public speaking or activism, possibly attending school board meetings, organizing events, or speaking to the media to express their concerns or objections."
DeSantis hopes to block Critical Race Theory from Florida classrooms,"The primary actor in the headline is Ron DeSantis, the Governor of Florida. He is a political actor, specifically a state-level politician, and a member of the Republican Party. As governor, he holds the highest executive office in the state government of Florida and is responsible for implementing state laws and overseeing the operation of the state executive branch. His actions and policies can have significant impacts on education, legislation, and public discourse within the state."
Guest commentary : Legislation on critical race theory isnt a good idea,"The headline does not explicitly reference a primary actor. It mentions ""guest commentary,"" which implies that the actor is likely a guest writer or commentator providing their opinion on legislation regarding critical race theory. However, the specific individual or their characteristics are not detailed in the headline itself."
Racist CRT Lessons in Public School Classrooms,"The headline does not explicitly reference a primary actor in terms of an individual or a specific group. However, it implicitly refers to the entity responsible for the ""Racist CRT (Critical Race Theory) Lessons"" which could be interpreted as the school system or educators who are implementing these lessons in public school classrooms. The actor, in this case, would be those who are in charge of or responsible for the curriculum and teaching that is being labeled as ""racist CRT lessons."""
Black Senators Walk Out As Mississippi Lawmakers Pass A Bill To Ban Critical Race Theory,"The primary actors in the headline are ""Black Senators."" These individuals are political actors, specifically elected officials who are members of a legislative body, in this case, likely the Mississippi State Senate. They are described as having taken a collective action (walking out) in protest of legislation being passed. The headline implies that these senators are likely opposed to the bill in question, which aims to ban Critical Race Theory, and their walkout is a form of political demonstration or dissent."
New Report Shatters Media Lie That CRT Isnt Taught In Virginia Schools,"The primary actor in the headline is the ""New Report."" The report is described as having the action of shattering a media lie about Critical Race Theory (CRT) not being taught in Virginia schools. The report itself is an inanimate object, but in the context of the headline, it is personified as performing the action of disproving a claim. The report is likely a compilation of information or research that provides evidence contrary to the claim mentioned in the headline."
Kristi Noem Pens Bill Blocking Critical Race Theory in South Dakota Schools,"The primary actor in the headline is Kristi Noem. She is a political figure, specifically the Governor of South Dakota. As a governor, she is involved in the legislative process and has the authority to propose and support bills that affect state policy, such as education curriculum. She is not an actor in the entertainment sense but rather a public official and politician."
Republicans unveil bill to ban federal funding of critical race theory,"The primary actor in the headline is ""Republicans."" This term generally refers to members of the Republican Party, which is one of the two major political parties in the United States. In the context of the headline, these actors are likely Republican lawmakers or legislators who have the authority to propose and potentially enact legislation. They are characterized by their political affiliation and are taking action to introduce a bill that aims to prohibit the use of federal funds for anything related to critical race theory."
Florida bans  critical race theory  from its classrooms,"The primary actor in the headline ""Florida bans critical race theory from its classrooms"" is the state of Florida, likely represented by its government or legislative body that has the authority to regulate educational curricula within the state. This actor is responsible for the action of banning critical race theory from being taught in classrooms. The description implies a collective decision or policy change made at the state level, rather than an individual person's actions."
GOP : The Fight Against Critical Race Theory Has Only Just Begun,"The primary actor in the headline is the GOP, which stands for the Republican Party in the United States. The GOP is a political party and the headline suggests that it is actively engaged in a campaign or struggle against the teaching or spread of Critical Race Theory. The GOP, as an actor in this context, is likely to be a collective of politicians, supporters, and affiliated groups who share a common stance on this issue."
Thomas Gallatin : Backlash Against CRT Is Growing The Patriot Post,"The headline does not reference a specific actor in terms of an individual person taking action. Instead, it mentions ""Backlash Against CRT,"" which implies that the primary actor is a collective group of people or a movement that is growing in opposition to Critical Race Theory (CRT). The actor is not a single person but rather a societal trend or reaction. Thomas Gallatin appears to be the author of the article or the person commenting on the situation, not the actor in the event described by the headline."
"CRT : What it is , what to do","The headline ""CRT: What it is, what to do"" does not reference a specific actor. Instead, it appears to be about Critical Race Theory (assuming CRT stands for Critical Race Theory), describing what it is and possibly providing guidance on how to engage with or respond to it. The primary actor, in this case, would be the subject matter itself or the concept of CRT, rather than a person or group of people."
Critical race theory : The education trap,"The headline ""Critical race theory: The education trap"" does not reference a specific actor. Instead, it references a subject matter, which is critical race theory, and suggests a context or situation, which is described as ""the education trap."" The primary actor, such as a person, group, or organization, is not identified in the headline provided."
The Controversy Over Critical Race Theory Is Creeping Into Kansas Schools,"The headline does not reference a specific individual or group as the primary actor. Instead, it refers to ""The Controversy Over Critical Race Theory,"" which is an abstract concept or issue rather than a person or entity capable of taking action. The controversy itself is being described as ""creeping into Kansas schools,"" suggesting a gradual influence or spread of the debate surrounding Critical Race Theory into the educational institutions of Kansas. The actors involved in this controversy would likely include educators, parents, policymakers, and other stakeholders in the Kansas education system, but they are not explicitly mentioned in the headline."
Republicans Move Against Teaching Critical Race Theory in Schools,"The primary actor in the headline is ""Republicans."" This term generally refers to members of the Republican Party, which is one of the two major political parties in the United States. In the context of the headline, these actors are likely Republican lawmakers or politicians who are taking steps to legislate against the teaching of Critical Race Theory in educational institutions. They may be acting at the state or federal level, introducing bills, or using their political influence to affect educational policies."
PODCAST : 05 . 22 - Critical Race Theory,"The headline ""PODCAST : 05 . 22 - Critical Race Theory"" does not reference a specific primary actor. It indicates the subject of a podcast episode, which is Critical Race Theory, but does not mention an individual or entity as the actor."
Stand Up And Demand Accountability : Tulsa Schools Warned For Violating CRT Ban,"The primary actor in the headline ""Stand Up And Demand Accountability: Tulsa Schools Warned For Violating CRT Ban"" appears to be an authoritative or regulatory body that is responsible for enforcing the ban on Critical Race Theory (CRT) in schools. This actor is likely a government entity, such as a state education department or a legislative body, that has the power to issue warnings to schools for non-compliance with the CRT ban. The actor is characterized by its role in oversight and enforcement of educational policies. The headline does not provide specific details about the identity of the actor, such as a name or title, but it implies that the actor has the authority to demand accountability from schools."
Gov . Youngkin Defends Ending CRT In Virginia School Children Education,"The primary actor in the headline is Gov. Youngkin, who is a political actor. Specifically, Gov. Youngkin refers to Glenn Youngkin, who is the Governor of Virginia. As a governor, he is a state executive official responsible for the administration of state government affairs, and his actions often involve policy decisions and governance that can impact a wide range of public sectors, including education."
Banned Florida Math Books : See Examples of CRT in Textbooks – NBC 6 South Florida,"The headline does not explicitly reference a primary actor in terms of an individual or a group taking action. Instead, it focuses on the subject matter, which is ""Banned Florida Math Books."" If we interpret the ""primary actor"" broadly as the main subject of the headline, then the banned math books themselves would be considered the primary actor, albeit inanimate. These books are the focus of the story, particularly in relation to the controversy surrounding the inclusion of Critical Race Theory (CRT) content in educational materials."
Joe Biden Wants to Take Critical Race Theory to the Next Level,"The primary actor in the headline is Joe Biden, who is the President of the United States. As the head of the executive branch, he is responsible for setting policy direction, implementing laws, and representing the nation both domestically and internationally. He is a political figure and the leader of the federal government."
Anti - CRT  school board candidates are winning,"The primary actor in the headline ""Anti-CRT school board candidates are winning"" refers to individuals who are running for positions on school boards and are opposed to Critical Race Theory (CRT). These candidates are likely campaigning on a platform that includes removing or limiting the teaching of CRT in schools, and according to the headline, they are having success in their elections. The term ""Anti-CRT"" indicates their primary stance on this particular educational and political issue."
"Critical race theory : Myths , Marxism and more","The headline ""Critical race theory: Myths, Marxism and more"" does not reference a specific primary actor. Instead, it focuses on the subject of critical race theory and associated topics such as myths and Marxism. The headline suggests a discussion or explanation of these concepts rather than highlighting an individual or group as the primary actor."
Mom At Center Of CRT Revelations :  Parents Are Not Domestic Terrorists,"The primary actor in the headline is a ""Mom"" who is at the center of revelations regarding Critical Race Theory (CRT). This actor is described as a mother who is involved in a situation or debate concerning CRT and is making a statement or taking a stance that parents, presumably like herself, should not be labeled as domestic terrorists. This suggests that she is likely a vocal participant in the discourse surrounding CRT in educational settings, and may have gained attention for her views or actions related to the topic."
Critical race theory undermines military effectiveness,"The headline does not explicitly reference a primary actor. It focuses on the concept of ""critical race theory"" and its alleged impact on ""military effectiveness."" The actor, in this case, would be an abstract or ideological concept rather than a person or a group."
The Battle Against Critical Race Theory,"The headline ""The Battle Against Critical Race Theory"" does not explicitly reference a specific primary actor. Instead, it suggests a conflict or struggle involving individuals or groups who are opposed to critical race theory. The primary actor could be a collective of individuals, organizations, policymakers, or political groups that are actively working to challenge or prevent the teaching or implementation of critical race theory in educational institutions or other areas of society. Without additional context, the specific identity of the primary actor cannot be determined."
"Masks , critical race theory affecting school board races","The headline does not explicitly reference a specific primary actor. It mentions ""masks"" and ""critical race theory"" as issues that are affecting school board races, but these are topics or issues rather than actors. The implied actors could be the candidates running for school board positions or the voters who are influenced by these issues, but they are not directly mentioned in the headline provided."
New e - book aims to help parents  combat  CRT in schools,"The primary actor in the headline is the ""e-book"" which is designed to help parents. The e-book is not a person but an object or a resource that is being used to address the issue of Critical Race Theory (CRT) in schools. The headline does not reference a specific individual or organization as the actor; instead, it focuses on the e-book itself as the tool for action."
Bill banning critical race theory in Arizona heads to committee,"The primary actor in the headline ""Bill banning critical race theory in Arizona heads to committee"" is not a person but a legislative document, specifically a bill. The bill is the subject of the action (heading to a committee), which implies that it is a proposed piece of legislation that is being considered by a legislative body in Arizona. The bill itself is an inanimate object, but it represents the actions and intentions of the legislators who are sponsoring and supporting it. The focus is on the legislative process and the movement of the bill within that process."
Educators Sue Missouri School District for Critical Race Theory Training,"The primary actor in the headline is ""Educators."" These are individuals who are professionally involved in the education process, such as teachers, professors, or school administrators. They are taking legal action against a school district in Missouri, presumably because they object to the implementation or requirement of Critical Race Theory training within the district's schools."
Critical Race Theory : What Christians Need to Know,"The headline does not reference a specific primary actor. It is focused on the subject of ""Critical Race Theory"" and addresses ""Christians"" as the audience who needs to be informed about it. In this context, ""Christians"" could be considered a general group for whom the information is relevant, but they are not acting in the headline; rather, they are the recipients of the information."
Parents against critical race theory,"The primary actor in the headline ""Parents against critical race theory"" is a group of parents. These individuals are characterized by their opposition to critical race theory, suggesting they are actively involved in a debate or controversy surrounding the teaching or inclusion of this academic framework in educational institutions, likely schools where their children are enrolled."
Let honor Martin Luther King Jr . today by rejecting critical race theory,"The headline does not explicitly reference a primary actor. It is an imperative sentence that calls on an unspecified group or individual to take action (""Let honor Martin Luther King Jr. today by rejecting critical race theory""). The actor is implied to be the general public or the readers of the headline."
FLORIDA SAYS  NO : DeSantis Unveils  Stop WOKE Act  to Remove CRT from  Schools and Workplaces,"The primary actor in the headline is ""DeSantis,"" referring to Ron DeSantis, the Governor of Florida. He is a political actor, specifically a state governor, who is taking legislative or executive action to address an issue related to education and workplace training within his state. The headline indicates that he is unveiling the ""Stop WOKE Act,"" which is intended to remove Critical Race Theory (CRT) from schools and workplaces in Florida."
Moms Threatened With Lawsuit For Questioning CRT Curriculum,"The primary actor in the headline is ""Moms."" These individuals are described as being threatened with a lawsuit, and their action is questioning a CRT (Critical Race Theory) curriculum. The headline suggests that these moms are likely parents or guardians of students, and they are engaged in some form of activism or inquiry regarding the educational content being taught in a school or school district. The nature of the headline implies that their questioning has led to a legal confrontation."
Teachers union will defend members on critical race theory,"The primary actor in the headline is the ""teachers union."" A teachers union is an organization that represents the collective interests of teachers and other education professionals. It typically engages in activities such as negotiating contracts, working conditions, salaries, and benefits, as well as advocating for educational policies and providing legal protection and support for its members. In the context of the headline, the union is positioned as a defender of its members in relation to the issue of critical race theory."
Masks And CRT Are Just The Start : It Time To Break Public Schools,"The headline does not explicitly reference a primary actor. It is a statement or call to action regarding public schools, suggesting that there is an issue with masks and Critical Race Theory (CRT) and that more fundamental changes are needed. The actor behind this sentiment could be an individual, a group, or an organization advocating for educational reform or expressing dissatisfaction with the current state of public schools, but they are not specifically named in the headline provided."
Idaho House And Senate Pass Bill Banning Critical Race Theory In Schools,"The primary actor in the headline ""Idaho House And Senate Pass Bill Banning Critical Race Theory In Schools"" is a collective legislative body, specifically the Idaho House of Representatives and the Idaho Senate. These are the two chambers of the state legislature in Idaho, responsible for creating and passing state laws. The headline indicates that both chambers have taken action to pass a bill, which is a legislative act. The members of these chambers are elected officials who represent the citizens of Idaho and work together to enact state legislation."
Georgia Board of Education targets teaching of  critical race theory  | State,"The primary actor in the headline is the ""Georgia Board of Education."" This actor is a governmental body responsible for overseeing public education policy, curriculum standards, and other educational matters within the state of Georgia. The board typically consists of appointed or elected officials who make decisions regarding the state's educational system. In this context, the board is taking action to address or regulate the teaching of critical race theory in the state's schools."
Oklahoma House OKs ban on teaching critical race theory,"The primary actor in the headline ""Oklahoma House OKs ban on teaching critical race theory"" is the Oklahoma House, which refers to the lower chamber of the Oklahoma State Legislature. This body is composed of elected officials who represent the citizens of Oklahoma and are responsible for creating and passing state laws. In this context, the Oklahoma House is acting as a legislative body making a decision regarding state education policy."
CRT is dividing Democrats and rallying Republicans,"The headline does not reference a specific individual or group as the primary actor. Instead, it refers to ""CRT,"" which stands for Critical Race Theory, as the subject that is causing division and rallying. CRT in this context is an academic concept or issue rather than an actor. The headline suggests that the concept of CRT is having an effect on political parties, dividing Democrats and rallying Republicans, but it does not attribute agency to a person or a collective group of people as the primary actor."
Biden Set to Push Critical Race Theory on U . S . Schools,"The primary actor in the headline is ""Biden,"" referring to Joe Biden, the President of the United States. As the head of the executive branch of the U.S. government, the President has significant influence over national policy and public discourse. Joe Biden is a political figure who, prior to becoming President, served as Vice President under Barack Obama and has had a long career in politics, including serving as a U.S. Senator for Delaware. The headline suggests that he is taking an active role in promoting Critical Race Theory within U.S. schools, which implies a policy initiative or advocacy at the federal level."
What Is Critical Race Theory Anyway ?,"The headline ""What Is Critical Race Theory Anyway?"" does not reference a specific actor. Instead, it focuses on a subject or concept, which is Critical Race Theory. The primary actor, in this case, would be the concept itself or the person seeking to understand it, rather than an individual or group performing an action."
"Space Force Officer Relieved After Denouncing Marxism , Critical Race Theory in Military","The primary actor in the headline is a ""Space Force Officer."" This individual is a member of the United States Space Force, which is a branch of the U.S. Armed Forces responsible for space warfare operations. The officer mentioned in the headline has been relieved of duty, which implies they held a position of authority or responsibility within the Space Force. The reason given for their relief from duty is the public denouncement of Marxism and Critical Race Theory within the military, suggesting that the officer may have expressed these views in a manner deemed inappropriate or against military regulations."
Critical race theory discussions surface across county,"The headline does not reference a specific primary actor. It mentions ""discussions"" about critical race theory surfacing across a county, which implies that the actors could be various individuals or groups engaging in these discussions, such as educators, parents, students, community members, or local government officials. However, without more context, it is not possible to identify a specific type of actor as the primary one."
Demonizing Critical Race Theory | History News Network,"The headline does not explicitly reference a specific primary actor. The action of ""demonizing"" is mentioned, but the actor (individual, group, or entity) responsible for this action is not specified in the headline itself."
